item,itemLabel,position,positionLabel,start,psid
Q104837118,Peggy Serame,Q97356746,Minister of Finance,2021-04-16,Q104837118-c6c34d0f-4b40-96c4-3154-ae28644f53ff
Q104839258,Mpho Balopi,Q110210187,"Minister of Employment, Labour Productivity and Skills Development",2019-11-06,Q104839258-F57A9F53-3588-4D40-895F-4EE36099AB28
Q105395314,Tumiso Rakgare,Q110210190,"Minister of Youth Empowerment, Sport and Culture Development",2019-11-06,Q105395314-72BF33EE-3192-44AB-85D9-20271FF05664
Q110210140,Kagiso Mmusi,Q110209184,"Minister of Defence, Justice and Security (Botswana)",2019-11-06,Q110210140-76743F1E-EA70-47C2-82A6-5DA7DC6A6153
Q110210162,Edwin Dikoloti,Q61669451,Minister of Health of Botswana,2020-08-26,Q110210162-becd54a4-4203-30d8-4f2f-6ed50888ad2d
Q110210164,Fedelis Molao,Q110209186,Minister of Education and Skills Development,2019-11-06,Q110210164-8462507F-80A9-45FA-B115-88C5F3861D63
Q110210165,Phildah Kereng,Q110210166,"Minister of Environment, Natural Resources Conservation and Tourism",2019-11-06,Q110210165-BE2D04F3-7490-4696-9302-45D9935C22A0
Q110210167,Lemogang Kwape,Q59138717,Foreign Minister of Botswana,2020-08-26,Q110210167-7313861f-448a-8728-6abf-6c7ec638ddf2
Q110210169,Mmusi Kgafela,Q110210189,"Minister of Investment, Trade and Industry",2021-04-16,Q110210169-87302255-413e-3e18-b5e1-aad909450dda
Q110210172,Lefoko Moagi,Q110210173,"Minister of Mineral Resources, Green Technology and Energy Security",2019-11-06,Q110210172-21D24B23-5D39-40A5-AAC6-A33FAC21B908
Q110210175,Eric Molale,Q110210176,Minister of Local Government and Rural Development,2019-11-06,Q110210175-1E687D79-D155-4C8E-8407-89007EEACCD7
Q110210180,Thulaganyo Segokgo,Q110210181,Minister of Transport and Communications,2019-11-06,Q110210180-5F78BECA-42B4-4F65-A61B-BEB4F465D07B
Q110210182,Kabo Morwaeng,Q110210185,"Minister of Presidential Affairs, Governance and Public Administration",2019-11-06,Q110210182-C0A42CBF-212B-497C-8D51-97BEFCC20CBF
Q110210191,Douglas Letsholathebe,Q110209191,"Minister of Tertiary Education, Research, Science and Technology",2019-11-06,Q110210191-795E630E-1493-4084-8839-0282439DAC28
Q110210194,Kefentse Mzwinila,Q110210195,"Minister of Land Management, Water and Sanitation Services",2019-11-06,Q110210194-4FAC6FD4-8AC5-4396-BDAC-D4357306E762
Q110210196,Abraham Ketshabe,Q110210197,Attorney General of Botswana,2019-11-06,Q110210196-2FFC4BA6-D973-4729-8AC7-826F711C2E5C
Q110210198,Elias Magosi,Q110210199,Permanent Secretary to the President of Botswana,2019-11-06,Q110210198-3B84B83F-E011-4177-B327-744541F19D99
Q110210457,Karabo Gare,Q110210163,Minister of Agricultural Development and Food Security,2020-08-26,Q110210457-7628FD1C-F529-4146-94C1-CB433542AC3C
Q18618891,Mokgweetsi Masisi,Q19056310,President of Botswana,2018-04-01,Q18618891-2bb225e2-411f-319d-c632-f1429b80fa83
Q52714790,Slumber Tsogwane,Q859757,Vice-President of Botswana,2018-04-04,Q52714790-540bf8c3-674e-4048-b342-ce13e81aaf1b
Q96626889,Thapelo Matsheka,Q110210170,Minister of Infrastructure and Housing Development,2021-04-16,Q96626889-b7fc703d-420d-0a28-b30c-fc276bfaec8e
Q98918703,Anna Mokgethi,Q110210177,"Minister of Nationality, Immigration and Gender Affairs",2019-11-06,Q98918703-3D27F669-98E6-4D4A-B858-452C9D2F4720
