id,position,country,jurisdiction,deputy,list,start,end,before,after,enwiki
Q866725,President of Botswana,Q963,Q963,,,1966-09-30,,,,President of Botswana
Q859757,Vice-President of Botswana,Q963,Q963,,,,,,,Vice-President of Botswana
Q110210163,Minister of Agricultural Development and Food Security,Q963,Q963,,,,,,,
Q113044683,"Minister of Communications, Knowledge and Technology",Q963,Q963,,,,,,,
Q110209184,Minister of Defence of Botswana,,Q963,,,,,,,
Q110209186,Minister of Education and Skills Development,,Q963,,,,,,,
Q110210187,"Minister of Employment, Labour Productivity and Skills Development",Q963,Q963,,,,,,,
Q113044648,Minister of Entrepreneurship,Q963,Q963,,,,,,,
Q110210166,"Minister of Environment, Natural Resources Conservation and Tourism",Q963,Q963,,,,,,,
Q97356746,Minister of Finance,Q963,Q963,,,,,,,Minister of Finance (Botswana)
Q59138717,Foreign Minister of Botswana,Q963,Q963,,,,,,,
Q61669451,Minister of Health of Botswana,Q963,Q963,,,,,,,
Q106919354,Minister of Home Affairs of Botswana,Q963,Q963,,,,,,,
Q110210170,Minister of Infrastructure and Housing Development,Q963,Q963,,,,,,,
Q110210189,"Minister of Investment, Trade and Industry",Q963,Q963,,,,,,,
Q113043843,Minister of Justice,Q963,Q963,,,,,,,
Q113044761,Minister of Labour and Home Affairs,Q963,Q963,,,,,,,
Q110210195,"Minister of Land Management, Water and Sanitation Services",Q963,Q963,,,,,,,
Q110210176,Minister of Local Government and Rural Development,Q963,Q963,,,,,,,
Q110210173,"Minister of Mineral Resources, Green Technology and Energy Security",Q963,Q963,,,,,,,
Q110210177,"Minister of Nationality, Immigration and Gender Affairs",Q963,Q963,,,,,,,
Q110210185,"Minister of Presidential Affairs, Governance and Public Administration",Q963,Q963,,,,,,,
Q110209191,"Minister of Tertiary Education, Research, Science and Technology",,Q963,,,,,,,
Q110210181,Minister of Transport and Communications,Q963,Q963,,,,,,,
Q113044775,Minister of Transport and Public Works,Q963,Q963,,,,,,,
Q110210190,"Minister of Youth Empowerment, Sport and Culture Development",Q963,Q963,,,,,,,
Q110210199,Permanent Secretary to the President of Botswana,Q963,Q963,,,,,,,
Q110210197,Attorney General of Botswana,Q963,Q963,,,,,,,
Q6640273,Speaker of the National Assembly of Botswana,,,,,,,,,List of speakers of the National Assembly of Botswana
Q110210826,Governor of the Bank of Botswana,Q963,,,,,,,,
Q108873890,Commander of the Defence Force (Botswana),Q963,,,,,,,,Commander of the Defence Force (Botswana)
