item,itemLabel,position,positionLabel,startDate,endDate,source,psid
Q104837118,Peggy Onkutlwile Serame,Q97356746,Minister of Finance,2021-04-16,,https://twitter.com/BWGovernment/status/1517544619550072834,Q104837118-c6c34d0f-4b40-96c4-3154-ae28644f53ff
Q105395314,Tumiso Macdonald Rakgare,Q110210190,"Minister of Youth, Gender, Sport and Culture",2019-11-06,,https://twitter.com/BWGovernment/status/1517544619550072834,Q105395314-72BF33EE-3192-44AB-85D9-20271FF05664
Q110210140,Kagiso Thomas Mmusi,Q110209184,Minister of Defence and Security,2019-11-06,,https://twitter.com/BWGovernment/status/1517544619550072834,Q110210140-76743F1E-EA70-47C2-82A6-5DA7DC6A6153
Q110210162,Dr. Edwin Gorataone Dikoloti,Q61669451,Minister of Health,2020-08-26,,https://twitter.com/BWGovernment/status/1517544619550072834,Q110210162-becd54a4-4203-30d8-4f2f-6ed50888ad2d
Q110210164,Fidelis Macdonald Molao,Q110210163,Minister of Agriculture,2022-04-22,,https://twitter.com/BWGovernment/status/1517544619550072834,Q110210164-3AD0D8B5-791D-4E91-BABC-D22DB1166BA2
Q110210165,Philda Kereng,Q110210166,Minister of Environment and Tourism,2019-11-06,,https://twitter.com/BWGovernment/status/1517544619550072834,Q110210165-BE2D04F3-7490-4696-9302-45D9935C22A0
Q110210167,Dr. Lemogang Kwape,Q59138717,Minister of Foreign Affairs,2020-08-26,,https://twitter.com/BWGovernment/status/1517544619550072834,Q110210167-7313861f-448a-8728-6abf-6c7ec638ddf2
Q110210169,Mmusi Kgafela,Q110210189,Minister of Trade and Industry,2021-04-16,,https://twitter.com/BWGovernment/status/1517544619550072834,Q110210169-87302255-413e-3e18-b5e1-aad909450dda
Q110210172,Lefhoko Maxwell Moagi,Q110210173,Minister of Minerals and Energy,2019-11-06,,https://twitter.com/BWGovernment/status/1517544619550072834,Q110210172-21D24B23-5D39-40A5-AAC6-A33FAC21B908
Q110210175,Eric Mothibi Molale,Q113044775,Minister of Transport and Public Works,2022-04-22,,https://twitter.com/BWGovernment/status/1517544619550072834,Q110210175-43F8250B-F400-475F-A548-552A9B38AEDA
Q110210180,Thulagano Merafe Segokgo,Q113044683,"Minister of Communications, Knowledge and Technology",2022-04-22,,https://twitter.com/BWGovernment/status/1517544619550072834,Q110210180-7733936f-41d4-6cb1-5d2d-20e4bb6ebaee
Q110210182,Neale Sechele Morwaeng,Q110210185,Minister for State President,2019-11-06,,https://twitter.com/BWGovernment/status/1517544619550072834,Q110210182-C0A42CBF-212B-497C-8D51-97BEFCC20CBF
Q110210191,Dr. Douglas Letsholathebe,Q110209186,Minister of Education and Skills Development,2022-04-22,,https://twitter.com/BWGovernment/status/1517544619550072834,Q110210191-4FE20CC8-5214-4A4D-9A8D-A56A9F20EDB6
Q110210194,Kefentse Mzwinila,Q110210195,Minister of Lands and Water Affairs,2019-11-06,,https://twitter.com/BWGovernment/status/1517544619550072834,Q110210194-4FAC6FD4-8AC5-4396-BDAC-D4357306E762
Q110210196,Abraham Ketshabe,Q110210197,Attorney General of Botswana,2019-11-06,,,Q110210196-2FFC4BA6-D973-4729-8AC7-826F711C2E5C
Q110210198,Elias Magosi,Q110210199,Permanent Secretary to the President of Botswana,2019-11-06,,,Q110210198-3B84B83F-E011-4177-B327-744541F19D99
Q110210457,Karabo Socraat Gare,Q113044648,Minister of Entrepreneurship,2022-04-22,,https://twitter.com/BWGovernment/status/1517544619550072834,Q110210457-E7308E46-0280-42C3-81A7-BFF81BC60B88
Q113043842,Machana Ronald Shamukuni,Q113043843,Minister of Justice,2022-04-22,,https://twitter.com/BWGovernment/status/1517544619550072834,Q113043842-4E3CE6C9-EA4E-4020-831B-D37B77397CAF
Q113044769,Kgotla Kenneth Autlwetse,Q110210176,Minister of Local Government and Rural Development,2022-04-22,,https://twitter.com/BWGovernment/status/1517544619550072834,Q113044769-F267257B-5FBF-40CB-ACFE-753EAFED2C9F
Q18618891,Mokgweetsi Eric Keabetswe Masisi,Q866725,President of the Republic of Botswana,2018-04-01,,https://twitter.com/BWGovernment/status/1517544619550072834,Q18618891-2bb225e2-411f-319d-c632-f1429b80fa83
Q52714790,Slumber Tsogwane,Q859757,Vice-President of Botswana,2018-04-04,,,Q52714790-540bf8c3-674e-4048-b342-ce13e81aaf1b
Q98918703,Annah Maria Mokgethi,Q113044761,Minister of Labour and Home Affairs,2022-04-22,,https://twitter.com/BWGovernment/status/1517544619550072834,Q98918703-696740DF-D001-4AA1-A943-A1318C039193
