@@,name,position
---,Tumiso Rakgare,"Minister of Youth Empowerment, Sport and Culture Development"
---,Thulaganyo Segokgo,Minister of Transport and Communications
---,Thapelo Matsheka,Minister of Infrastructure and Housing Development
---,Slumber Tsogwane,Vice-President of Botswana
---,Phildah Kereng,"Minister of Environment, Natural Resources Conservation and Tourism"
---,Peggy Serame,Minister of Finance
---,Mpho Balopi,"Minister of Employment, Labour Productivity and Skills Development"
---,Mokgweetsi Masisi,President of Botswana
---,Mmusi Kgafela,"Minister of Investment, Trade and Industry"
---,Lemogang Kwape,Foreign Minister of Botswana
---,Lefoko Moagi,"Minister of Mineral Resources, Green Technology and Energy Security"
---,Kefentse Mzwinila,"Minister of Land Management, Water and Sanitation Services"
---,Karabo Gare,Minister of Agricultural Development and Food Security
---,Kagiso Mmusi,"Minister of Defence, Justice and Security (Botswana)"
---,Kabo Morwaeng,"Minister of Presidential Affairs, Governance and Public Administration"
---,Fedelis Molao,Minister of Education and Skills Development
---,Eric Molale,Minister of Local Government and Rural Development
---,Elias Magosi,Permanent Secretary to the President of Botswana
---,Edwin Dikoloti,Minister of Health
---,Douglas Letsholathebe,"Minister of Tertiary Education, Research, Science and Technology"
---,Anna Mokgethi,"Minister of Nationality, Immigration and Gender Affairs"
---,Abraham Ketshabe,Attorney General of Botswana
